,season_teams_count,position_class_team_1,position_class_team_2,diff_points_class,team_1_xg90_performance,team_2_xg90_performance,team_1_xga90_performance,team_2_xga90_performance,team_1_tsr_avg,team_2_tsr_avg,team1_all_classic_xgsh,team1_all_classic_xgash,team1_all_classic_gdxgd,team1_all_classic_wins,team1_all_classic_draw,team1_all_classic_defeat,team1_all_xg90_draw_xgxga,team1_all_xg90_zero_xgxga,team1_all_xg90_com_xgxga,team2_all_classic_xgd,team2_all_classic_gdxgd,team2_all_classic_xp,team2_all_classic_minutes,team2_all_xg90_draw_xga90,team2_all_xg90_draw_xgxga,team2_all_xg90_cxp_xg90,team2_all_xg90_cop_xg90,team2_all_five_draw_xg90,team_1_points_difference4,team_2_points_difference4,team_1_xg90_performance_diff4,team_2_xg90_performance_diff4,team_1_xga90_performance_diff4,team_2_xga90_performance_diff4,team_1_lucky_l4,team_2_lucky_l4,odds_open_win1,odds_open_draw,odds_open_win2,odds_open_tm25,odds_open_tb25,odds_close_win1,odds_close_draw,odds_close_win2,odds_close_tm25,odds_close_tb25,result_output
,24,E,E,A2,10.770.744,9.028.572,14.630.563,11.746.519,5.094.732,47.560.165,0.11,0.14,0,3,3,6,0.56,0.66,1.17,-0.4,-4.6,0,1253,0.73,1.4,0,1.34,0.9,0,0,-12.797.014,-61.787.975,18.689.781,18.264.542,27.896.357,-580.764,2.77,3.3,2.71,1.751,2.14,2.47,3.32,3.06,1.689,2.24,2
,24,C,E,C1,14.879.128,9.791.386,9.385.087,8.877.069,61.005.753,48.271.984,0.12,0.12,-2.6,7,2,3,1.17,1.15,2.96,3,0,0,1249,1.08,0.87,2.55,0.96,0.45,30.434.784,42.187.492,17.391.315,15.206.176,-3.049.562,-15.370.647,25.778.651,10.980.904,1.775,3.66,5.01,1.775,2.11,1.684,3.63,5.92,1.636,2.34,1
,24,H,H,A2,60.006.166,7.879.404,12.127.739,17.355.846,40.974.667,42.257.694,0.1,0.13,1.1,2,2,8,0.4,0.42,0.29,-9.2,-2.8,0,1236,1.29,0.6,0,0.76,0.51,-62.5,8.055.555,-53.442.955,18.916.595,1.931.859,-20.598.616,94.738.686,25.277.537,2.05,3.56,3.78,1.917,1.952,2.25,3.37,3.43,1.746,2.15,1
,24,D,E,A1,99.069.226,9.840.124,6.952.895,9.171.225,52.036.354,46.827.587,0.11,0.12,6.1,6,1,5,0.74,1,0.56,0.4,0.6,0,1148,0.54,1.57,1.17,0.71,2.12,8.947.368,-11.764.704,40.267.185,-35.514.023,-39.234.474,-45.289.684,,-149.046,2.11,3.37,3.81,1.714,2.2,1.943,3.29,4.62,1.584,2.46,1
,24,E,E,A1,923.077,10.432.805,8.486.768,14.219.178,4.933.903,49.738.136,0.1,0.1,-0.2,3,4,5,0.75,0.9,0.81,-3.2,0.2,0,1051,1.43,0.61,0.02,1.18,1.16,-7.692.311,-8.333.336,-26.546.398,20.658.146,33.727.658,-11.946.049,-9.283.894,-29.153.317,2.1,3.39,3.81,1.735,2.16,2.02,3.28,4.25,1.602,2.41,0
,24,E,D,A2,9.260.074,968.414,11.601.897,7.136.834,48.856.483,50.609.287,0.1,0.1,-3.7,4,2,6,1.43,1.86,1.68,-3.3,5.3,0,1052,1.22,0.72,0.72,0.94,0.53,-35.714.283,54.687.492,-23.101.269,2.194.657,-13.055.515,-18.219.719,-2.742.787,24.813.819,2.16,3.34,3.36,1.714,2.09,2.5,3.19,3.14,1.609,2.4,1
,24,A,D,C1,12.990.197,10.964.967,773.621,9.339.572,65.061.844,51.607.998,0.12,0.12,-2.7,9,1,2,1.84,1.33,1.22,1.4,1.6,0,1151,0.64,1.25,0,1.3,0.45,-35.714.254,35.000.004,14.016.167,-30.381.446,25.586.548,27.912.843,-15.670.061,45.575,1.952,3.6,4.07,1.8,1.99,1.746,3.72,5.12,1.98,1.884,1
,24,B,C,B1,1.744.292,12.370.671,97.230.303,714.135,51.796.867,5.342.368,0.14,0.14,9.5,8,2,2,1.57,0.9,0.98,2.7,4.3,0,1061,0.8,1.57,0.23,0.76,0.95,384.615,-8.333.332,523.561,-29.092.425,-269.775,5.401.513,-9.997.511,27.722.353,2.31,3.31,3.34,1.735,2.06,2.69,3.26,2.82,1.666,2.28,2
,24,F,H,B1,9.089.518,6.055.487,12.020.026,15.050.929,501.125,45.753.937,0.11,0.11,-2.5,3,2,7,0.72,0.61,0.93,-8.8,-2.2,0,1052,1.13,0.34,0,0.5,0.24,9.090.906,65,35.353.527,17.869.837,5.253.279,21.219.639,26.370.972,-8.317.155,2,3.35,3.8,1.751,2.04,2.23,3.35,3.49,1.74,2.16,2
,24,G,D,C2,77.286.017,11.498.772,15.628.097,9.565.882,4.170.467,4.802.237,0.11,0.15,-0.6,1,6,5,0.53,0.68,0.6,7.6,-4.6,0,1037,0.76,1.75,0,1.8,1.53,6.666.667,22.222.223,-27.515.028,-4.423.611,-4.572.641,-2.267.171,52.358.234,13.389.404,2.98,3.29,2.54,1.763,2.12,2.91,3.22,2.64,1.675,2.27,1
